"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 18:13:32 EST 2024","Tue Nov 12 18:13:32 EST 2024","104","Suite","Test","alwin.demo.sedarplus.tests.homepage.HomePageUpperSectionTextTest","alwin.demo.sedarplus.tests.homepage.HomePageUpperSectionTextTest","homePage002_PageUpperTextTest","Validate home page and page identifier text is displayed",""
"passed","Tue Nov 12 18:13:31 EST 2024","Tue Nov 12 18:13:31 EST 2024","116","Suite","Test","alwin.demo.sedarplus.tests.homepage.HomePageUpperSectionTextTest","alwin.demo.sedarplus.tests.homepage.HomePageUpperSectionTextTest","homePage001_PageIdentityTextTest","Validate home page and page identifier text is displayed",""
